cod;nome;período;valor
12;AC;1996;2
27;AL;1996;16
13;AM;1996;15
16;AP;1996;2
29;BA;1996;19
23;CE;1996;46
53;DF;1996;50
32;ES;1996;23
52;GO;1996;79
21;MA;1996;11
31;MG;1996;147
50;MS;1996;49
51;MT;1996;45
15;PA;1996;17
26;PE;1996;90
22;PI;1996;9
41;PR;1996;162
33;RJ;1996;62
24;RN;1996;10
11;RO;1996;3
14;RR;1996;3
43;RS;1996;297
42;SC;1996;65
28;SE;1996;4
35;SP;1996;313
17;TO;1996;4
12;AC;1997;5
27;AL;1997;8
13;AM;1997;17
16;AP;1997;4
29;BA;1997;36
23;CE;1997;35
53;DF;1997;41
32;ES;1997;27
52;GO;1997;81
21;MA;1997;10
31;MG;1997;142
50;MS;1997;38
51;MT;1997;29
15;PA;1997;30
25;PB;1997;7
26;PE;1997;86
22;PI;1997;11
41;PR;1997;137
33;RJ;1997;90
24;RN;1997;15
11;RO;1997;11
14;RR;1997;2
43;RS;1997;294
42;SC;1997;83
28;SE;1997;2
35;SP;1997;295
17;TO;1997;3
12;AC;1998;4
27;AL;1998;9
13;AM;1998;12
16;AP;1998;2
29;BA;1998;33
23;CE;1998;30
53;DF;1998;26
32;ES;1998;27
52;GO;1998;62
21;MA;1998;11
31;MG;1998;109
50;MS;1998;31
51;MT;1998;35
15;PA;1998;27
25;PB;1998;16
26;PE;1998;54
22;PI;1998;14
41;PR;1998;156
33;RJ;1998;56
24;RN;1998;12
11;RO;1998;21
14;RR;1998;6
43;RS;1998;313
42;SC;1998;72
28;SE;1998;3
35;SP;1998;258
17;TO;1998;8
27;AL;1999;11
13;AM;1999;10
29;BA;1999;23
23;CE;1999;38
53;DF;1999;17
32;ES;1999;25
52;GO;1999;70
21;MA;1999;15
31;MG;1999;65
50;MS;1999;32
51;MT;1999;30
15;PA;1999;19
25;PB;1999;9
26;PE;1999;58
22;PI;1999;6
41;PR;1999;135
33;RJ;1999;48
24;RN;1999;15
11;RO;1999;11
14;RR;1999;7
43;RS;1999;309
42;SC;1999;72
28;SE;1999;7
35;SP;1999;222
17;TO;1999;6
12;AC;2000;5
27;AL;2000;11
13;AM;2000;9
16;AP;2000;1
29;BA;2000;26
23;CE;2000;26
53;DF;2000;26
32;ES;2000;13
52;GO;2000;82
21;MA;2000;13
31;MG;2000;107
50;MS;2000;44
51;MT;2000;40
15;PA;2000;17
25;PB;2000;3
26;PE;2000;58
22;PI;2000;9
41;PR;2000;122
33;RJ;2000;65
24;RN;2000;12
11;RO;2000;12
14;RR;2000;2
43;RS;2000;303
42;SC;2000;75
28;SE;2000;10
35;SP;2000;230
17;TO;2000;9
12;AC;2001;8
27;AL;2001;11
13;AM;2001;14
16;AP;2001;1
29;BA;2001;26
